Customer	Inter-arrival time	Clock	Service time	Start time	End time	Queue waiting time	Total time	Server idle time
1	0	0	65	0	65	0	65	0
2	90	90	62	90	152	0	62	25
3	519	609	3	609	612	0	3	457
4	87	696	98	696	794	0	98	84
5	494	1190	52	1190	1242	0	52	396
6	866	2056	68	2056	2124	0	68	814
7	277	2333	48	2333	2381	0	48	209
8	154	2487	54	2487	2541	0	54	106
9	848	3335	42	3335	3377	0	42	794
10	147	3482	88	3482	3570	0	88	105
11	909	4391	42	4391	4433	0	42	821
12	127	4518	87	4518	4605	0	87	85
13	133	4651	16	4651	4667	0	16	46
14	133	4784	43	4784	4827	0	43	117
15	381	5165	6	5165	5171	0	6	338
16	315	5480	46	5480	5526	0	46	309
17	954	6434	46	6434	6480	0	46	908
18	205	6639	80	6639	6719	0	80	159
19	283	6922	45	6922	6967	0	45	203
20	544	7466	82	7466	7548	0	82	499
21	275	7741	9	7741	7750	0	9	193
