Customer	Inter-arrival time	Clock	Service time(Able)	Start time(Able)	End time(Able)	Service time(Baker)	Start time(Baker)	End time(Baker)	Queue time
1	0	0	17	0	17	-	-	-	0
2	75	75	-	-	-	91	0	166	91
3	80	155	27	-	182	-	-	-	27
4	75	230	-	-	-	40	0	270	40
5	87	317	-	-	-	91	270	408	91
6	4	321	85	-	406	-	-	-	85
7	67	388	-	-	-	86	0	474	86
8	62	450	52	-	502	-	-	-	52
9	82	532	-	-	-	83	0	615	83
10	1	533	95	-	628	-	-	-	95
11	63	596	-	-	-	82	0	678	82
12	20	616	88	-	704	-	-	-	88
13	53	669	-	-	-	18	0	687	18
14	79	748	-	-	-	45	687	793	45
15	74	822	-	-	-	93	793	915	93
16	29	851	19	-	870	-	-	-	19
17	61	912	-	-	-	37	0	949	37
18	41	953	-	-	-	52	949	1005	52
19	96	1049	-	-	-	34	1005	1083	34
20	40	1089	-	-	-	78	1083	1167	78
21	98	1187	-	-	-	72	1167	1259	72
