Day	Day type	Demand	Revenue	Lost profit	Salvage	Profit
1	fair	60	30.0	0	0.5	7.399999999999999
2	good	80	35.0	1.6999999999999997	0	10.2
3	fair	70	35.0	0.0	0	11.899999999999999
4	good	80	35.0	1.6999999999999997	0	10.2
5	good	100	35.0	5.1	0	6.799999999999999
6	good	80	35.0	1.6999999999999997	0	10.2
7	fair	60	30.0	0	0.5	7.399999999999999
8	good	70	35.0	0.0	0	11.899999999999999
9	fair	50	25.0	0	1.0	2.8999999999999986
10	fair	70	35.0	0.0	0	11.899999999999999
11	fair	40	20.0	0	1.5	-1.6000000000000014
12	fair	70	35.0	0.0	0	11.899999999999999
13	fair	50	25.0	0	1.0	2.8999999999999986
14	good	80	35.0	1.6999999999999997	0	10.2
15	fair	50	25.0	0	1.0	2.8999999999999986
16	fair	50	25.0	0	1.0	2.8999999999999986
17	fair	60	30.0	0	0.5	7.399999999999999
18	good	90	35.0	3.3999999999999995	0	8.5
19	good	80	35.0	1.6999999999999997	0	10.2
20	poor	40	20.0	0	1.5	-1.6000000000000014
