Cycle	Day	Beginning inventory	Demand	Ending inventory	Shortage qty	Order qty	Order arrives in
1	1	3	2	1	0	0	1
1	2	1	2	1	1	1	0
1	3	9	1	8	0	1	-
1	4	8	2	6	0	1	-
1	5	6	2	4	0	1	-
2	1	4	3	1	0	1	0
2	2	2	2	0	0	1	-
2	3	0	3	0	3	4	-
2	4	0	1	0	1	5	-
2	5	0	0	0	0	5	-
3	1	0	1	0	1	6	0
3	2	5	2	3	0	6	-
3	3	3	2	1	0	6	-
3	4	1	2	1	1	7	-
3	5	1	1	0	0	7	-
4	1	0	1	0	1	8	0
4	2	7	2	5	0	8	-
4	3	5	2	3	0	8	-
4	4	3	2	1	0	8	-
4	5	1	2	1	1	9	-
5	1	1	3	1	2	11	0
5	2	10	2	8	0	11	-
5	3	8	2	6	0	11	-
5	4	6	3	3	0	11	-
5	5	3	2	1	0	11	-
6	1	1	3	1	2	13	0
